"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Source","EID"
"Ramadhani M.; Nugrahadi D.T.; Faisal M.R.; Muliadi; Kartini D.; Abadi F.; Lumbanraja F.R.","Ramadhani, Muhamad (60435040200); Nugrahadi, Dodon Turianto (57193829171); Faisal, Mohammad Reza (57215666671); Muliadi (56826006800); Kartini, Dwi (58022883100); Abadi, Friska (57383569800); Lumbanraja, Favorisen Rosyking (57211241860)","60435040200; 57193829171; 57215666671; 56826006800; 58022883100; 57383569800; 57211241860","Effect of Dataset Quantity and Feature Variability on Machine Learning Performance for ECG-Based Diabetes Prediction","2025","Proceedings - IC2IE 2025: 8th 2025 International Conference of Computer and Informatics Engineering: Human-Machine Synergy Brings Together the Physical and Digital Worlds","","","","","","1","10.1109/IC2IE67206.2025.11283355","https://www.scopus.com/pages/publications/105031770683?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-105031770683"
"Antoni Gracy G.; Pravin S.C.","Antoni Gracy, G. (56441573000); Pravin, Sheena Christabel (57219780650)","56441573000; 57219780650","Latent Space Classification for Cardiovascular Disease Detection: A Deep Convolutional Autoencoder-Based Approach for Telemedicine Applications","2025","IEEE Access","13","","","129195","129212","1","10.1109/ACCESS.2025.3579999","https://www.scopus.com/pages/publications/105008647171?origin=resultslist","Article","Final","Scopus","2-s2.0-105008647171"
"Qiao L.; Ma H.-M.; Li S.-J.; Tang X.-Y.; Huang R.-R.; Zhang J.-P.; Piao M.-H.; Ryu H.","Qiao, Li (60045292700); Ma, Hao-Ming (58572555200); Li, Si-Jia (57205201358); Tang, Xing-Yi (58984425000); Huang, Rong-Rong (57203353143); Zhang, Jian-Ping (60045408400); Piao, Mei-Hua (55617690000); Ryu, Hyeongju (57195625698)","60045292700; 58572555200; 57205201358; 58984425000; 57203353143; 60045408400; 55617690000; 57195625698","The Application of IoT-Based Information Collection Platform in Intelligent Management of Cardiovascular Diseases","2025","Studies in Health Technology and Informatics","329","","","1618","1619","0","10.3233/SHTI251130","https://www.scopus.com/pages/publications/105013359129?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-105013359129"
"Garg A.; Garg N.B.; Bansal M.","Garg, Atul (59000470200); Garg, Nidhi Bansal (57363743100); Bansal, Mohit (57951619800)","59000470200; 57363743100; 57951619800","Revolutionizing Heart Attack Prevention: Machine Learning Models in Smart Healthcare","2025","SN Computer Science","6","2","142","","","2","10.1007/s42979-025-03696-w","https://www.scopus.com/pages/publications/85218151142?origin=resultslist","Review","Final","Scopus","2-s2.0-85218151142"
"Gao S.; Xu C.; Fu X.; Wang T.; Chen M.; Liu H.; Zhao J.; Zhao J.; Chen X.","Gao, Shang (57207781335); Xu, Chao (60248762600); Fu, Xinqiao (59708588400); Wang, Tengyin (60249179500); Chen, Mingxin (60248762700); Liu, Haitao (60249460900); Zhao, Jiyue (59707208000); Zhao, Jiao (58064883300); Chen, Xiang (57191243465)","57207781335; 60248762600; 59708588400; 60249179500; 60248762700; 60249460900; 59707208000; 58064883300; 57191243465","Comparison of Three Novel Machine Learning Models for Photoplethysmography-based Cuffless Blood Pressure Prediction","2025","Proceedings - 2025 18th International Congress on Image and Signal Processing, BioMedical Engineering and Informatics, CISP-BMEI 2025","","","","","","0","10.1109/CISP-BMEI68103.2025.11259260","https://www.scopus.com/pages/publications/105025457375?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-105025457375"
"Lalithanjali K.; Kalyan Chakravarti Y.; Kundanika D.; Likitha K.","Lalithanjali, K. (56607362500); Kalyan Chakravarti, Y. (57195073733); Kundanika, D. (60347379400); Likitha, K. (57201748075)","56607362500; 57195073733; 60347379400; 57201748075","Predicting Health: An Innovative Approach to Multi-Disease Diagnosis Through Machine Learning","2026","Lecture Notes in Networks and Systems","1684 LNNS","","","486","495","0","10.1007/978-3-032-08246-6_39","https://www.scopus.com/pages/publications/105028358346?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-105028358346"
"Shoba L.K.; Maruthukannan B.; Venkataraman N.L.; Chandrakala D.; Mohankumar N.; Malathi N.","Shoba, L.K. (57191293517); Maruthukannan, B. (59172130900); Venkataraman, N.L. (8709484200); Chandrakala, D. (57212931553); Mohankumar, N. (56729226800); Malathi, N. (58882526800)","57191293517; 59172130900; 8709484200; 57212931553; 56729226800; 58882526800","Dynamic Cardiovascular Rehabilitation for Personalized Exercise Plans Guided by Recurrent Neural Networks in the Cloud","2024","International Conference on Smart Systems for Applications in Electrical Sciences, ICSSES 2024","","","","","","0","10.1109/ICSSES62373.2024.10561424","https://www.scopus.com/pages/publications/85197883803?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-85197883803"
"Aziz S.; Ali A.M.; Aslam H.; Abd-Alrazaq A.A.; AlSaad R.; Alajlani M.; Ahmad R.; Khalil L.; Ahmed A.; Sheikh J.","Aziz, Sarah (57222136271); Ali, Amal A M (57223663114); Aslam, Hania (57191966790); Abd-Alrazaq, Alaa A (57208188497); AlSaad, Rawan (55635996300); Alajlani, Mohannad (55644338900); Ahmad, Reham (58856539200); Khalil, Laila (59234424500); Ahmed, Arfan (57224998577); Sheikh, Javaid (7006472076)","57222136271; 57223663114; 57191966790; 57208188497; 55635996300; 55644338900; 58856539200; 59234424500; 57224998577; 7006472076","Wearable Artificial Intelligence for Sleep Disorders: Scoping Review","2025","Journal of Medical Internet Research","27","","e65272","","","12","10.2196/65272","https://www.scopus.com/pages/publications/105004384822?origin=resultslist","Article","Final","Scopus","2-s2.0-105004384822"
"Madhura H.B.; Jayanthi M.; Jayashree R.","Madhura, H.B. (59558618300); Jayanthi, Manushri (59558246200); Jayashree, R. (57221081088)","59558618300; 59558246200; 57221081088","Predictive Modelling of Heart Disease and the Role of Comorbidities in Patient Outcome","2024","2024 2nd DMIHER International Conference on Artificial Intelligence in Healthcare, Education and Industry, IDICAIEI 2024","","","","","","0","10.1109/IDICAIEI61867.2024.10842828","https://www.scopus.com/pages/publications/85217873719?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-85217873719"
"Borrelli N.; Sabatino J.; Ruperti-Repilado F.J.; Tutarel O.; Giannakoulas G.; D’Alto M.; Romeo E.; Tobler D.; Diller G.P.","Borrelli, Nunzia (57208499535); Sabatino, Jolanda (55331823200); Ruperti-Repilado, Francisco Javier (57100202000); Tutarel, Oktay (6603479050); Giannakoulas, George (10641370200); D’Alto, Michele (57208726989); Romeo, Emanuele (8285877500); Tobler, Daniel (22434329400); Diller, Gerhard Paul (8541842200)","57208499535; 55331823200; 57100202000; 6603479050; 10641370200; 57208726989; 8285877500; 22434329400; 8541842200","New perspectives in the management of adults with congenital heart disease: insights from the 2025 ACHD Congress","2026","European Heart Journal, Supplement","28","","","i50","i57","0","10.1093/eurheartjsupp/suaf086","https://www.scopus.com/pages/publications/105029504828?origin=resultslist","Article","Final","Scopus","2-s2.0-105029504828"
"Zhang H.; Li P.; Qian L.; Shi Z.; Wu Y.","Zhang, Hanwen (58678881900); Li, Peichun (57222054545); Qian, Liping (55241616100); Shi, Zhiguo (8446518800); Wu, Yuan (24781596200)","58678881900; 57222054545; 55241616100; 8446518800; 24781596200","From Radar Cardiography to Electrocardiograms: Conditional Diffusion Model Enabled Contactless ECG Monitoring Using mmWave Radar","2026","IEEE Internet of Things Journal","","","","","","0","10.1109/JIOT.2026.3672898","https://www.scopus.com/pages/publications/105032843338?origin=resultslist","Article","Article in press","Scopus","2-s2.0-105032843338"
"Guo Z.; Chen J.; He T.; Wang W.; Abbas H.; Lv Z.","Guo, Zhihuan (58127679000); Chen, Junxin (55938853600); He, Tongyue (57223932206); Wang, Wei (56948620800); Abbas, Haider (57221959316); Lv, Zhihan (55925162500)","58127679000; 55938853600; 57223932206; 56948620800; 57221959316; 55925162500","DS-CNN: Dual-Stream Convolutional Neural Networks-Based Heart Sound Classification for Wearable Devices","2023","IEEE Transactions on Consumer Electronics","69","4","","1186","1194","58","10.1109/TCE.2023.3247901","https://www.scopus.com/pages/publications/85149377748?origin=resultslist","Article","Final","Scopus","2-s2.0-85149377748"
"Vaishnavi B.S.; Nayak P.; Janapati R.; Trivedi V.; Jyothi J.S.N.; Jugge P.","Vaishnavi, Balina Sri (60143763300); Nayak, Padmalaya (55437432700); Janapati, Ravichander (56572844000); Trivedi, Veena (60031818700); Jyothi, J. Siva Naga (59693042400); Jugge, Praveen (57222615696)","60143763300; 55437432700; 56572844000; 60031818700; 59693042400; 57222615696","Ensemble Deep Learning Framework for Robust Arrhythmia Detection","2025","2025 3rd International Conference on Industry 4.0 Technology, I4Tech 2025","","","","","","0","10.1109/I4Tech64670.2025.11277843","https://www.scopus.com/pages/publications/105031098820?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-105031098820"
"Rai A.K.; Verma D.K.; Dwivedi R.K.","Rai, Arun Kumar (57216582254); Verma, Deepak Kumar (57224115936); Dwivedi, Rajendra Kumar (57202050276)","57216582254; 57224115936; 57202050276","Anomaly Detection in ECG Signals Through Unsupervised Machine Learning: A Novel Approach Using Hybrid Autoencoders for Medical Data Analysis","2024","Lecture Notes in Networks and Systems","1037 LNNS","","","105","115","0","10.1007/978-981-97-3991-2_9","https://www.scopus.com/pages/publications/85205108624?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-85205108624"
"Ferrão T.; Sahu P.P.","Ferrão, Tarcízio (58502168500); Sahu, Partha Pratim (15119678900)","58502168500; 15119678900","Emerging Trends in Methods for Arsenic Detection in Drinking Water","2026","Groundwater Monitoring and Remediation","46","1","","84","108","0","10.1111/gwmr.70029","https://www.scopus.com/pages/publications/105023578621?origin=resultslist","Article","Final","Scopus","2-s2.0-105023578621"
"Priyadharshini U.; Vijayan R.","Priyadharshini, U. (59092074700); Vijayan, R. (57205636576)","59092074700; 57205636576","An Ontology-Based Approach for Heart Disease Prediction Leveraging Decision Trees in Healthcare","2025","International Journal of Computational Intelligence Systems","18","1","225","","","0","10.1007/s44196-025-00960-y","https://www.scopus.com/pages/publications/105014718485?origin=resultslist","Article","Final","Scopus","2-s2.0-105014718485"
"Zhao Y.C.; Wang Z.; Zhao H.; Yap N.A.; Wang R.; Cheng W.; Xu X.; Ju L.A.","Zhao, Yunduo Charles (57218191807); Wang, Zihao (57207928828); Zhao, Haimei (59677675400); Yap, Nicole Alexis (59315344100); Wang, Ren (57212021546); Cheng, Wenlong (7402168960); Xu, Xin (59873736000); Ju, Lining Arnold (55761708900)","57218191807; 57207928828; 59677675400; 59315344100; 57212021546; 7402168960; 59873736000; 55761708900","Sensing the Future of Thrombosis Management: Integrating Vessel-on-a-Chip Models, Advanced Biosensors, and AI-Driven Digital Twins","2025","ACS Sensors","10","3","","1507","1520","13","10.1021/acssensors.4c02764","https://www.scopus.com/pages/publications/105001483738?origin=resultslist","Review","Final","Scopus","2-s2.0-105001483738"
"Immaculate Joy S.; Kanagamalliga S.","Immaculate Joy, S. (57213686362); Kanagamalliga, S. (56884761200)","57213686362; 56884761200","Advancements in remote heart monitoring: Wearable technology and AI-based approaches for cardiovascular disease detection","2024","AI in the Social and Business World: A Comprehensive Approach","","","","102","117","2","","https://www.scopus.com/pages/publications/85208281017?origin=resultslist","Book chapter","Final","Scopus","2-s2.0-85208281017"
"Magomedov M.; Khan S.; Magomedov A.; Fatima F.; Mehdi Raza A.; Parvez S.; Magomedova A.; Fatima G.","Magomedov, Magomed (57222355496); Khan, Sadaf (60053976500); Magomedov, Ali (60053819000); Fatima, Fariya (60054127000); Mehdi Raza, Ammar (60054763300); Parvez, Sidrah (57218559090); Magomedova, Aminat (57190430264); Fatima, Ghizal (53063493100)","57222355496; 60053976500; 60053819000; 60054127000; 60054763300; 57218559090; 57190430264; 53063493100","A biomechatronic system for the real- time monitoring and modulation of eating behavior: applications in precision health management","2025","Frontiers in Mechanical Engineering","11","","1619366","","","1","10.3389/fmech.2025.1619366","https://www.scopus.com/pages/publications/105013672999?origin=resultslist","Review","Final","Scopus","2-s2.0-105013672999"
"Aishwarya R.P.; Kshama T.C.; Prajaktha P.; Spoorthi P.S.; Udhayakumar S.; Shetty R.","Aishwarya, R.P. (59410276100); Kshama, T.C. (59410090900); Prajaktha, P. (59410649500); Spoorthi, P.S. (59411404000); Udhayakumar, S. (58097187300); Shetty, Roshan (57225092323)","59410276100; 59410090900; 59410649500; 59411404000; 58097187300; 57225092323","AI - based Cardiac Diagnostics","2024","15th International Conference on Advances in Computing, Control, and Telecommunication Technologies, ACT 2024","2","","","611","616","0","","https://www.scopus.com/pages/publications/85209068567?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-85209068567"
"Almazloum A.A.; Matos T.S.; Ferreira J.A.; Magaldi P.F.; Moitinho M.S.; Moreno C.R.; Monteiro R.; Silva E.P.; Rocha A.R.","Almazloum, Ahmad A. (57904040900); Matos, Thaynara S. (60350038100); Ferreira, Julia A. (60351021900); Magaldi, Pietro F. (60350604200); Moitinho, Matheus S. (57218198922); Moreno, Camila R. (57193764553); Monteiro, Rosangela (7102451331); Silva, Emely P. (57222112884); Rocha, Anderson R. (60244734200)","57904040900; 60350038100; 60351021900; 60350604200; 57218198922; 57193764553; 7102451331; 57222112884; 60244734200","Readmission Prediction for Postoperative Cardiac Patients Monitored by Smartwatch Using LSTM","2025","Proceedings of the International Conference on Soft Computing and Machine Intelligence, ISCMI","","2025","","77","81","0","10.1109/ISCMI67495.2025.11358634","https://www.scopus.com/pages/publications/105033216374?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-105033216374"
"Dharani L.; Victo Sudha George G.; Geetha S.","Dharani, L. (58178595300); Victo Sudha George, G. (56584756700); Geetha, S. (59174459600)","58178595300; 56584756700; 59174459600","AN EFFECTIVE AND ACCURATE PREDICTION OF CARDIOVASCULAR DISEASES USING ECG SIGNAL BY IMPROVISED MULTISCALE ADAPTIVE RESIDUAL DENSENET","2025","Biomedical Engineering - Applications, Basis and Communications","","","2550057","","","0","10.4015/S1016237225500577","https://www.scopus.com/pages/publications/105023654038?origin=resultslist","Article","Article in press","Scopus","2-s2.0-105023654038"
"Thatha V.N.; Chalichalamala S.; Pamula U.; Krishna D.P.; Chinthakunta M.; Mantena S.V.; Vahiduddin S.; Vatambeti R.","Thatha, Venkata Nagaraju (57211976423); Chalichalamala, Silpa (59751233500); Pamula, Udayaraju (57203186584); Krishna, D. Pramodh (57190013871); Chinthakunta, Manjunath (57205131842); Mantena, Srihari Varma (57205216994); Vahiduddin, Shariff (56566749800); Vatambeti, Ramesh (57194207919)","57211976423; 59751233500; 57203186584; 57190013871; 57205131842; 57205216994; 56566749800; 57194207919","Optimized machine learning mechanism for big data healthcare system to predict disease risk factor","2025","Scientific Reports","15","1","14327","","","21","10.1038/s41598-025-98721-6","https://www.scopus.com/pages/publications/105003441147?origin=resultslist","Article","Final","Scopus","2-s2.0-105003441147"
"Meisenzahl C.; Xia X.; Hsu K.; Tabassum H.; Dzikowicz D.J.; Tsouri G.R.; Hall B.; Missel R.; Jain P.; Koua K.; Wang L.; Couderc J.-P.","Meisenzahl, Casey (59343005600); Xia, Xiaojuan (60349948100); Hsu, Kimberly (60350085700); Tabassum, Homayra (60350784200); Dzikowicz, Dillon J. (57208413919); Tsouri, Gill R. (9638075500); Hall, Burr (57201521318); Missel, Ryan (57219228458); Jain, Paras (60350923200); Koua, Kpangni (60350367100); Wang, Linwei (15043491500); Couderc, Jean-Philippe (7103249521)","59343005600; 60349948100; 60350085700; 60350784200; 57208413919; 9638075500; 57201521318; 57219228458; 60350923200; 60350367100; 15043491500; 7103249521","Extended Single-Lead ECG Monitoring for AF Detection Using Deep Learning","2025","Computing in Cardiology","52","","","","","0","10.22489/CinC.2025.380","https://www.scopus.com/pages/publications/105028532618?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-105028532618"
"Mohamed O.; Mohamed A.; Alenany A.","Mohamed, Omar (59301789600); Mohamed, Ahmed (59234422300); Alenany, Ahmed (36815642800)","59301789600; 59234422300; 36815642800","Heart Rate Estimation from Facial Videos Using 2D Convolution Neural Network","2024","2nd International Conference of Intelligent Methods, Systems and Applications, IMSA 2024","","","","390","395","0","10.1109/IMSA61967.2024.10652792","https://www.scopus.com/pages/publications/85204407182?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-85204407182"
"Shrivastava A.; Alsalami Z.; Nagini R.V.S.S.S.; Sharma A.; Khan I.; Gupta M.","Shrivastava, Anurag (58035982500); Alsalami, Zaid (58949240400); Nagini, Rallabandi Venkata Santoshi Saraswati Swetha (57200582142); Sharma, Aman (57195260390); Khan, Irfan (58287424400); Gupta, Manish (57190021967)","58035982500; 58949240400; 57200582142; 57195260390; 58287424400; 57190021967","Graph Neural Networks for Real-Time Biosignal Analysis in Wearable Healthcare Devices","2025","2025 IEEE 5th International Conference on ICT in Business Industry and Government, ICTBIG 2025","","","","","","0","10.1109/ICTBIG68706.2025.11323898","https://www.scopus.com/pages/publications/105032865259?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-105032865259"
"Antoun I.; Nizam A.; Ebeid A.; Rajesh M.; Abdelrazik A.; Eldesouky M.; Thu K.M.; Barker J.; Layton G.R.; Zakkar M.; Ibrahim M.; Safwan K.; Dibek R.M.; Somani R.; Ng G.A.; Bolger A.","Antoun, Ibrahim (57455574900); Nizam, Ali (59346047200); Ebeid, Armia (59410205900); Rajesh, Mariya (60114805500); Abdelrazik, Ahmed (59493103000); Eldesouky, Mahmoud (59658142000); Thu, Kaung Myat (60114805600); Barker, Joseph (57209399762); Layton, Georgia R. (57201650937); Zakkar, Mustafa (22959310900); Ibrahim, Mokhtar (55926865500); Safwan, Kassem (57360636000); Dibek, Radek M. (60114640300); Somani, Riyaz (14066857300); Ng, G. André (7102563774); Bolger, Aiden (60114805700)","57455574900; 59346047200; 59410205900; 60114805500; 59493103000; 59658142000; 60114805600; 57209399762; 57201650937; 22959310900; 55926865500; 57360636000; 60114640300; 14066857300; 7102563774; 60114805700","Artificial Intelligence in Adult Congenital Heart Disease: Diagnostic and Therapeutic Applications and Future Directions","2025","Reviews in Cardiovascular Medicine","26","8","41523","","","7","10.31083/RCM41523","https://www.scopus.com/pages/publications/105017003970?origin=resultslist","Review","Final","Scopus","2-s2.0-105017003970"
"Swaroop P.; Badolia N.; Ranjan R.; Kumar M.","Swaroop, Pranshu (59385548200); Badolia, Natansh (59385548300); Ranjan, Rishav (59385655000); Kumar, Manjeet (56352531500)","59385548200; 59385548300; 59385655000; 56352531500","Arrhythmia Classification Using Hybrid CNN-LSTM Model","2024","Proceedings - 1st International Conference on Electronics, Communication and Signal Processing, ICECSP 2024","","","","","","5","10.1109/ICECSP61809.2024.10698222","https://www.scopus.com/pages/publications/85207527584?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-85207527584"
"Song M.-S.; Lee S.-B.","Song, Min-Seo (59478260400); Lee, Seung-Bo (57417738100)","59478260400; 57417738100","Interpretable machine learning for hypertension detection using photoplethysmography (PPG) signals and their derivatives","2026","Biomedical Signal Processing and Control","113","","109194","","","0","10.1016/j.bspc.2025.109194","https://www.scopus.com/pages/publications/105023966871?origin=resultslist","Article","Final","Scopus","2-s2.0-105023966871"
"Sindhe S.T.; Sowmya H.D.; Rajesh T.M.; Girisha G.S.; Naresh P.; Yashpal Gupta S.","Sindhe, S Tarun (60023818800); Sowmya, H.D. (57573081300); Rajesh, T.M. (57198133258); Girisha, G.S. (57226383796); Naresh, P. (57216614625); Yashpal Gupta, S. (60022958800)","60023818800; 57573081300; 57198133258; 57226383796; 57216614625; 60022958800","Machine Learning Approaches for Predicting Heart Disease Risk","2025","Proceedings of the 2025 3rd International Conference on Inventive Computing and Informatics, ICICI 2025","","","","1090","1096","2","10.1109/ICICI65870.2025.11069503","https://www.scopus.com/pages/publications/105012160478?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-105012160478"
