"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","PubMed ID","Document Type","Publication Stage","Open Access","Source","EID"
"Alqulaity M.; Yang P.","Alqulaity, Malak (59164417900); Yang, Po (57191521367)","59164417900; 57191521367","Enhanced Conditional GAN for High-Quality Synthetic Tabular Data Generation in Mobile-Based Cardiovascular Healthcare","2024","Sensors","24","23","7673","","","16","10.3390/s24237673","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211824667&doi=10.3390%2Fs24237673&partnerID=40&md5=9a376bf6a52e562c188b6b09857a294e","The generation of synthetic tabular data has emerged as a critical task in various fields, particularly in healthcare, where data privacy concerns limit the availability of real datasets for research and analysis. This paper presents an enhanced Conditional Generative Adversarial Network (GAN) architecture designed for generating high-quality synthetic tabular data, with a focus on cardiovascular disease datasets that encompass mixed data types and complex feature relationships. The proposed architecture employs specialized sub-networks to process continuous and categorical variables separately, leveraging metadata such as Gaussian Mixture Model (GMM) parameters for continuous attributes and embedding layers for categorical features. By integrating these specialized pathways, the generator produces synthetic samples that closely mimic the statistical properties of the real data. Comprehensive experiments were conducted to compare the proposed architecture with two established models: Conditional Tabular GAN (CTGAN) and Tabular Variational AutoEncoder (TVAE). The evaluation utilized metrics such as the Kolmogorov–Smirnov (KS) test for continuous variables, the Jaccard coefficient for categorical variables, and pairwise correlation analyses. Results indicate that the proposed approach attains a mean KS statistic of 0.3900, demonstrating strong overall performance that outperforms CTGAN (0.4803) and is comparable to TVAE (0.3858). Notably, our approach shows lowest KS statistics for key continuous features, such as total cholesterol (KS = 0.0779), weight (KS = 0.0861), and diastolic blood pressure (KS = 0.0957), indicating its effectiveness in closely replicating real data distributions. Additionally, it achieved a Jaccard coefficient of 1.00 for eight out of eleven categorical variables, effectively preserving categorical distributions. These findings indicate that the proposed architecture captures both distributions and dependencies, providing a robust solution in supporting mobile personalized cardiovascular disease prevention systems. © 2024 by the authors.","39686209","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85211824667"
"Ghazarian A.; Zheng J.; Struppa D.; Rakovski C.","Ghazarian, Arin (57453809400); Zheng, Jianwei (57214867434); Struppa, Daniele (6603257416); Rakovski, Cyril (15045567800)","57453809400; 57214867434; 6603257416; 15045567800","Assessing the Reidentification Risks Posed by Deep Learning Algorithms Applied to ECG Data","2022","IEEE Access","10","","","68711","68723","11","10.1109/ACCESS.2022.3185615","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133662018&doi=10.1109%2FACCESS.2022.3185615&partnerID=40&md5=32b6b6ea74f3af45fb6160c70125470b","ECG (Electrocardiogram) data analysis is one of the most widely used and important tools in cardiology diagnostics. In recent years the development of advanced deep learning techniques and GPU hardware have made it possible to train neural network models that attain exceptionally high levels of accuracy in complex tasks such as heart disease diagnoses and treatments. We investigate the use of ECGs as biometrics in human identification systems by implementing state-of-the-art deep learning models. We train convolutional neural network models on approximately 81k patients from the US, Germany and China. Currently, this is the largest research project on ECG identification. Our models achieved an overall accuracy of 95.69%. Furthermore, we assessed the accuracy of our ECG identification model for distinct groups of patients with particular heart conditions and combinations of such conditions. For example, we observed that the identification accuracy was the highest (99.7%) for patients with both ST changes and supraventricular tachycardia. We also found that the identification rate was the lowest for patients diagnosed with both atrial fibrillation and complete right bundle branch block (49%). We discuss the implications of these findings regarding the reidentification risks of patients based on ECG data and how seemingly anonymized ECG datasets can cause privacy concerns for the patients. © 2013 IEEE.","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85133662018"
"Kelly S.E.; Clifford T.J.; Coyle D.; Martin J.; Welch V.; Skidmore B.; Birnie D.; Parkash R.; Tang A.S.L.; Wells G.A.","Kelly, Shannon E. (55654669600); Clifford, Tammy J. (7005862673); Coyle, Doug (7102318841); Martin, Janet (57189688245); Welch, Vivian (57209289305); Skidmore, Becky (16644065900); Birnie, David (58340759600); Parkash, Ratika (8970553800); Tang, Anthony S. L. (7201845885); Wells, George A. (36065493500)","55654669600; 7005862673; 7102318841; 57189688245; 57209289305; 16644065900; 58340759600; 8970553800; 7201845885; 36065493500","Virtual follow-up and care for patients with cardiac electronic implantable devices: Protocol for a systematic review","2020","Systematic Reviews","9","1","153","","","3","10.1186/s13643-020-01406-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087215509&doi=10.1186%2Fs13643-020-01406-6&partnerID=40&md5=b362ede3a731fc0f35b8c8541e5900a1","Background: Capacity to deliver outpatient care for patients with cardiac implantable electronic devices (CIEDs) may soon be outweighed by need. This systematic review aims to investigate the comparative effectiveness, safety, and cost for virtual or remote clinic interventions for patients with CIEDs and explores how outcomes may be influenced by patient or system factors in-depth. Methods: We will perform a systematic literature search in MEDLINE, Embase, PsycINFO, CINAHL, Proquest Dissertations & Theses, other EBM Reviews, and trial registry databases. Two authors will independently screen titles and abstracts for eligibility. We will include randomized and non-randomized controlled trials, quasi-randomized and experimental studies, cohort, and case-control studies. Study populations of interest are individuals with a CIED (pacemaker, ICD, CRT). Eligibility will be restricted to virtual or remote follow-up or care interventions compared to any other approach. The co-primary outcomes of interest are mortality and patient satisfaction. Secondary outcomes include clinical effectiveness (e.g., ICD shock, time-to-detection of medical event, hospitalizations), safety (e.g., serious or device-related adverse events), device efficacy (e.g., transmissions, malfunctions), costs, workflow (e.g., resources, process outcomes, time-saved), and patient reported (e.g., burden, quality of life). Data will be extracted by one author and checked by a second using a standardized template. We will use published frameworks to capture data relevant to intervention effects that may be influenced by intervention definition or complexity, context and setting, or in socially disadvantaged populations. Detailed descriptive results will be presented for all included studies and outcomes, and where feasible, synthesized using meta-analysis. Risk of bias will be assessed by two review authors independently using Cochrane Risk of Bias tools. Certainty of evidence will be assessed using the GRADE approach. Discussion: Increases in number of CIEDs implanted, combined with an aging population and finite health resource allocations at the system-level may lead to increased reliance on virtual follow-up or care models in the future. These models must prioritize consistent, equitable, and timely care as a priority. Results from this systematic review will provide important insight into the potential contextual factors which moderate or mediate the effectiveness, safety, and cost of virtual follow-up or care models for patients. Systematic review registration: PROSPERO registration number CRD42020145210 © 2020 The Author(s).","32593307","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85087215509"
"Salman O.S.; Latiff N.M.A.; Ariffin S.H.S.; Salman O.H.; Abdalkareem Z.A.","Salman, Omar Sadeq (58017183000); Latiff, Nurul Muazzah Abdul (57211276045); Ariffin, Sharifah Hafizah Syed (24465195800); Salman, Omar. H. (56276331200); Abdalkareem, Zahraa A. (56418438200)","58017183000; 57211276045; 24465195800; 56276331200; 56418438200","Evaluation of triage performance in IoMT-based telemedicine using robust scaler and PCA preprocessing","2026","Network Modeling Analysis in Health Informatics and Bioinformatics","15","1","63","","","0","10.1007/s13721-026-00740-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105030325058&doi=10.1007%2Fs13721-026-00740-4&partnerID=40&md5=b1cd826fb41b63d1a49beb28a39278c3","This study examines the influence of two data preprocessing techniques, Robust Scaler (RS) and Principal Component Analysis (PCA), on the predictive behaviour of Machine Learning (ML) models used for triage assessment in Internet of Medical Things (IoMT)-based telemedicine environments to enhance the decision support for healthcare, where heterogeneous and high-dimensional clinical data often introduce challenges related to variability and analytical stability. The objective is to evaluate how RS and PCA contribute to the consistency and reliability of triage predictions when integrated with established ML algorithms. A dataset of 55,680 outpatient records was used to assess the integration of RS and PCA with five supervised ML models: Support Vector Machine (SVM), Random Forest (RF), Decision Tree (DT), Logistic Regression (LR), and Naïve Bayes (NB). Performance was evaluated using accuracy, precision, recall, and F-score metrics. The evaluation reveals that each preprocessing technique affects model behaviour in distinct ways, and the RS Decision Tree combination exhibits stable performance in generating triage outcomes. PCA-based models exhibit characteristic patterns associated with dimensionality reduction, affecting interpretability and model response. The findings emphasize the role of preprocessing techniques in shaping ML-driven telemedicine workflows. Applying RS within ML pipelines supports consistent triage prediction, contributing to timely identification of patient conditions and strengthening data-driven remote healthcare services. © The Author(s) 2026.","","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105030325058"
"Lopez Magallon A.; Saenz L.; Mehta R.; Chacón M.A.; Ransanz S.M.; Swink K.; Berris M.; Hanabergh S.; Yerebakan C.; Wessel D.; Munoz R.","Lopez Magallon, Alejandro (15054732200); Saenz, Lucas (57200627108); Mehta, Rittal (57204807118); Chacón, Maria Angelica (59198435400); Ransanz, Santiago Martinez (59136610200); Swink, Kellie (58743730000); Berris, Menchee (58743408200); Hanabergh, Sofia (57862764400); Yerebakan, Can (55994112400); Wessel, David (15722937100); Munoz, Ricardo (8515147600)","15054732200; 57200627108; 57204807118; 59198435400; 59136610200; 58743730000; 58743408200; 57862764400; 55994112400; 15722937100; 8515147600","Pediatric Tele-Critical Care: Initial Experience with a Continuous Surveillance Model Aiming to Prevent Cardiac Arrest in Children with Critical Heart Disease","2024","Telemedicine and e-Health","30","8","","2134","2141","1","10.1089/tmj.2024.0035","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197260095&doi=10.1089%2Ftmj.2024.0035&partnerID=40&md5=1cb87259671379154c59af018e0bc368","Introduction: Despite advances in treatment of children with critical heart disease, cardiac arrest (CA) remains a common occurrence. We provided virtual support to bedside teams (BTs) from a tele-critical care (TCC) unit in a pediatric cardiac intensive care unit (CICU) and focused on early detection of concerning trends (CT) and avoidance of CA. Virtual surveillance workflows included a review of remote monitoring, video feed from patient room cameras, medical records, and artificial intelligence tools. We present our initial experience with a focus on critical communications (CCs) to BTs. Methods: A retrospective, descriptive review of TCC activities was conducted from January 2019 to December 2022, involving electronic databases and electronic medical records of patients in the CICU, including related CCs to BTs, responses from BTs, and related CA. Results: We conducted 18,171 TCC activities, including 2,678 non-CCs and 248 CCs. Over time, there was a significant increase in the proportion of CCs related with CT (p = 0.002), respiratory concerns (<0.001), and abnormalities in cardiac rhythm (p = 0.04). Among a sample of 244 CCs, subsequent interventions by BTs resulted in adjustment of medical treatment (127), respiratory support (68), surgery or intervention (19), cardiac rhythm control (17), imaging study (14), early resuscitation (9), and others (10). Conclusions: CCs from a TCC unit in a pediatric CICU changed over time with an increased focus on CT and resulted in early interventions, potentially contributing to avoiding CA. This model of care in pediatric cardiac critical care has the potential to improve patient safety. © Alejandro Lopez Magallon et al., 2024","","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85197260095"
"Akhavan H.; Rezaei F.","Akhavan, Hossein (60503439900); Rezaei, Fatemeh (55415627900)","60503439900; 55415627900","Analysis of human electrocardiogram (ECG) signals using machine learning techniques; [تحلیل سیگنالهای الکتروکاردیوگرام قلب انسان با استفاده از تکنیک یادگیری ماشین]","2025","Tehran University Medical Journal","83","3","","151","159","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105032773821&partnerID=40&md5=2a7315186b0a08a196b736753b77966b","Background: An Electrocardiogram is a non-invasive method for receiving heart signals. Despite advances in imaging methods, the electrocardiogram still plays an important role remains a vital tool in the diagnosis of heart diseases. Analysis of electrocardiogram signals plays an important role in the early detection of heart diseases such as arrhythmias and heart attacks. Today, with the advancement of science and technology, computer methods have received more and more attention from doctors. In this study, machine learning methods were used to classify normal and abnormal heartbeats. Methods: The data under study were extracted from a dataset called Heartbeat published on the Kaggle website. This dataset includes samples of audio ECG signals that are divided into healthy and unhealthy categories. First, the data were preprocessed and normalized to prepare them for input into the model. Then, temporal and frequency features were extracted from the signals. Next, a hybrid model consisting of one-dimensional convolutional layers was designed and trained. Also, by using the early stopping method, overfitting was prevented and the stability of the model was improved. Results: In this study, it was shown that by using deep learning, especially using CNN and 1D Conv, an accuracy of 0.99% and a loss of 0.0350 for test data in detecting normal and abnormal heartbeats can be achieved. This model has the ability to analyze complex structures and temporal dynamics of ECG signals and is able to detect patterns related to cardiac disorders. Conclusion: Today, the electrocardiogram has received more attention than ever before. Appropriate selection of the model, data standardization, and a qualitative range of data are among the factors of high accuracy in this study. This study can be an effective step in the development of intelligent systems for diagnosing cardiac disorders and can be used in medical applications, especially in the field of continuous patient monitoring. Copyright © 2025 Akhavan et al. Published by Tehran University of Medical Sciences. This work is licensed under a Creative Commons Attribution-Non-Commercial 4.0 International license (https://creativecommons.org/licenses/by-nc/4.0/). Non-commercial uses of the work are permitted, provided the original work is properly cited.","","Article","Final","","Scopus","2-s2.0-105032773821"
"Sambandam Raju P.; Woodward D.; Prasad R.G.; Muniyandy E.","Sambandam Raju, Preethi (59960707600); Woodward, Dexter (59232290100); Prasad, R. Giri (59173341300); Muniyandy, Elangovan (58932079700)","59960707600; 59232290100; 59173341300; 58932079700","Smart IoT-Cloud Healthcare System for Heart Disease Detection using Hierarchical Auto-Associative Polynomial Convolutional Neural Network","2025","Smart Health","38","","100612","","","0","10.1016/j.smhl.2025.100612","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015788354&doi=10.1016%2Fj.smhl.2025.100612&partnerID=40&md5=00eedea37eb6fe1bc1d1fb8362038ac2","Real-time patient health monitoring and remote management of health seem to be getting closer to revolutionizing healthcare with the swift growth of IoT and cloud-based services. Considering heart disease as the biggest killer, timely and precise prediction systems are also needed to enhance patient outcomes. Current systems lack real-time data processing, security vulnerabilities, and challenges in optimizing prediction accuracy. This paper proposes a Smart IoT-Cloud Healthcare Monitoring System for the prediction of heart illness based on a Hierarchical Auto-Associative Polynomial Convolutional Neural Network (HAAP-CNN-TTAO) to address these inefficiencies. The system employs IoT sensors to collect heart-related data, It is pre-processed with Shape-Aware Mesh Normal Filtering to guarantee high-quality input and remove noise. Feature extraction is performed using a Modified ResNet-152 Network, followed by heart disease prediction with HAAP-CNN. To overcome the limitations of traditional HAAP-CNN in parameter optimization, the Triangulation Topology Aggregation Optimizer (TTAO) is incorporated, enhancing prediction accuracy and scalability. Additionally, the Lightweight Homomorphic Cryptographic Algorithm (LHCA) is employed to secure patient data during transmission. Experimental results validate the system's efficacy, achieving a remarkable 98.7 % accuracy, 98.1 % precision, and 97.5 % recall, while reducing computational time by 22 % compared to existing methods. The proposed system effectively addresses critical challenges in real-time health monitoring, providing a strong and expandable solution for early identification of heart disease, greatly enhancing patient care and results. © 2025 Elsevier Inc.","","Article","Final","","Scopus","2-s2.0-105015788354"
"Zaman M.; Hridhee R.A.; Bhuiyan R.A.; Gomes C.A.; Rahman M.M.; Islam S.M.S.; Sarker F.; Mamun K.A.","Zaman, Marzia (59390890900); Hridhee, Rubaiyat Alim (57226368463); Bhuiyan, Refat Ahmed (59471226600); Gomes, Charles Aunkan (59470578100); Rahman, Md. Mashiar (59042811200); Islam, Sheikh Mohammed Shariful (56400111100); Sarker, Farhana (24448599500); Mamun, Khondaker A. (57923621700)","59390890900; 57226368463; 59471226600; 59470578100; 59042811200; 56400111100; 24448599500; 57923621700","Efficacy of using a digital health intervention model using community health workers for primary health services in Bangladesh: a repeated cross-sectional observational study","2025","BMC Public Health","25","1","1833","","","4","10.1186/s12889-025-22770-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005735421&doi=10.1186%2Fs12889-025-22770-9&partnerID=40&md5=3c2072eb34da4363250dce7daa02a62d","Objective: This study aims to evaluate the effectiveness of a digital health intervention model by observing people’s health conditions in a rural area of Bangladesh. Through a repeated cross-sectional design, health outcomes were assessed at six-month intervals over 18 months. Methods: The data presented in this paper are obtained from the model’s pilot implementation in one catchment area in Bangladesh. The model involved community health workers (CHWs) using a smart health kit and Artificial Intelligence(AI)-based mobile application to provide monthly doorstep health education, screenings, risk assessments, and digital referrals. Socio-demographic and health measurement data are presented as proportions with 95% confidence intervals (CIs). Multivariate logistic regression was used to analyze the association between diseases and their respective risk factors. We compared health vitals across three consecutive periods to determine the effectiveness of the model in improving health outcomes over time. Results: The model served 32,581 people from 7,090 households during this operation. We found that 21.76% of the served population were overweight, 8.18% had prehypertension, 16.45% had high blood glucose, and 11% children were malnourished. From the analysis of risk factors, we found that people aged >40 were associated with developing hypertension, diabetes, and cardiovascular diseases(CVD). CVD was associated with hypertension and stroke. A comparative analysis of different periods showed an improvement in BMI, BP, and MUAC. Blood glucose measurements did not show significant improvement. Conclusion: This study highlights the feasibility and effectiveness of digital health interventions in enhancing primary healthcare in rural settings. Integration of AI-driven decision support with CHW-led health education and screenings can improve early detection, intervention and management of non-communicable diseases (NCDs). Scaling up this model through public-private partnerships offers a cost-effective approach to bridging healthcare gaps and promoting universal health coverage. © The Author(s) 2025.","40390001","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105005735421"
"Date R.C.; Jesudasen S.J.; Weng C.Y.","Date, Rishabh C. (57191444887); Jesudasen, Sirus J. (57221671574); Weng, Christina Y. (57125500000)","57191444887; 57221671574; 57125500000","Applications of deep learning and artificial intelligence in Retina","2019","International Ophthalmology Clinics","59","1","","39","57","20","10.1097/IIO.0000000000000246","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059190742&doi=10.1097%2FIIO.0000000000000246&partnerID=40&md5=473e42e82d071bbb5a1ae111052e5617","[No abstract available]","30585917","Article","Final","","Scopus","2-s2.0-85059190742"
"Rosenthal L.-M.; Danne F.; de Belsunce S.; Spath L.; Badur C.-A.; Photiadis J.; Berger F.; Schmitt K.","Rosenthal, Lisa-Maria (55605534500); Danne, Friederike (55598132300); de Belsunce, Sophie (59520802800); Spath, Lisa (59520802900); Badur, Chiara-Aiyleen (57201999076); Photiadis, Joachim (55931154800); Berger, Felix (7201361048); Schmitt, Katharina (14052992400)","55605534500; 55598132300; 59520802800; 59520802900; 57201999076; 55931154800; 7201361048; 14052992400","Application-based remote interstage home monitoring for infants with shunt- or duct-dependent pulmonary perfusion","2024","Frontiers in Cardiovascular Medicine","11","","1493698","","","1","10.3389/fcvm.2024.1493698","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215512269&doi=10.3389%2Ffcvm.2024.1493698&partnerID=40&md5=4cd1d9331ff2a4f956db05a179cebca5","Objective: Interstage home monitoring (IHM) programs are considered standard of care after Norwood palliation and have led to substantial improvements in clinical outcomes. This study aims to evaluate an application-based remote IHM program for infants with shunt- or duct-dependent pulmonary circulation. The primary goals were to discharge infants from the hospital while minimizing mortality, optimizing somatic growth, and enhancing caregivers' confidence in the clinical management at home. Methods: Infants with shunt-dependent single ventricle physiology or complex biventricular physiology requiring staged palliation with aortopulmonary shunt were enrolled for the study. Caregivers completed a comprehensive education program on the clinical management of their child at home and were asked to remotely send monitoring data using an application. We analyzed demographic data and clinical outcomes; evaluated patient acceptance and adherence, as well as data entry patterns and metrics; and compared these to a historical control group monitored in a non-remote IHM program and with a propensity score-matched cohort adjusted for baseline characteristics. Results: We enrolled 30 infants in the remote IHM program between July 2021 and May 2024. The median duration of IHM was 110 days (IQR 75–140). A median of 353 (IQR 351–743) data entries were sent per patient during IHM of which 0.8% (IQR 0.3–1.9) were pathological. Readmissions (63%) and interventions (57%) were common, mainly due to cyanosis and infections. As all infants survived stage II palliation, interstage mortality could be reduced to 0% compared to 10.3% in the historical control group and was significantly lower compared to the propensity score-matched cohort with 14% (P = 0.032). Conclusion: Application-based remote IHM for infants with duct- or shunt-dependent pulmonary perfusion is feasible, with high acceptance and adherence. The program significantly reduced interstage mortality compared to traditional monitoring methods. Remote patient monitoring (RPM) improves communication between caregivers and healthcare teams, allowing for early intervention and optimized patient outcomes. RPM has the potential to improve outcomes, enhance patient safety, and reduce family burden in this high-risk population. 2025 Rosenthal, Danne, de Belsunce, Spath, Badur, Photiadis, Berger and Schmitt.","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85215512269"
"Sumwiza K.; Twizere C.; Rushingabigwi G.; Bakunzibake P.; Bamurigire P.","Sumwiza, Kellen (58524823400); Twizere, Celestin (36515759600); Rushingabigwi, Gerard (57190984121); Bakunzibake, Pierre (57206660915); Bamurigire, Peace (57219174888)","58524823400; 36515759600; 57190984121; 57206660915; 57219174888","Enhanced cardiovascular disease prediction model using random forest algorithm","2023","Informatics in Medicine Unlocked","41","","101316","","","43","10.1016/j.imu.2023.101316","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166942213&doi=10.1016%2Fj.imu.2023.101316&partnerID=40&md5=fd97967daace8e3c77449ca0a060ac4d","Cardiovascular diseases (CVDs) such as hypertension, heart failure, stroke, and coronary artery disease are now the major causes of early death worldwide, particularly in low and middle-income countries. Early detection of these disorders could lower the number of people who die prematurely. Researchers have proposed many techniques for CVD prediction, such as data mining, machine learning (ML), and the Internet of Things (IoT), for the early detection and monitoring of cardiac patients. Although these techniques are suggested and sometimes used, there is still much worry regarding their efficacy in situations where the error rate is high and accuracy is doubtful. As a result, it is necessary to select a prediction technique that can deliver more accuracy and fewer errors. This paper proposes an effective ensemble method based on the Random Forest (RF) algorithm for improving accuracy by combining multiple feature selection techniques. A classification model is built using training datasets and produces several decision trees. These datasets adjust for any missing data and include estimates of important classification variables. Data preparation and feature selection approaches such as correlation coefficients and data mining feature selection techniques are applied to remove outliers. Finally, a cardiovascular disease prediction model is created, and the model's increased performance accuracy is tested using a confusion matrix. A dataset from the Kaggle repository with 1025 data points and 14 attributes is used. The saved data are then preprocessed, yielding a dataset of 769 records and 13 variables that are evaluated using RF and compared to various models such as K-Nearest Neighbor (K-NN), Support Vector Machine (SVM), and Logistic Regression (LR) for the prediction of heart disorders. After employing several techniques, the proposed model achieves an accuracy of 99%, which shows a significant improvement over the other assessed models. © 2023 The Authors","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85166942213"
"Yenurkar G.K.; Mal S.; Wakulkar A.; Umbarkar K.; Bhat A.; Bhasharkar A.; Pathade A.","Yenurkar, Ganesh Keshaorao (57202989792); Mal, Sandip (55808341200); Wakulkar, Advait (58989559700); Umbarkar, Kartik (58989962100); Bhat, Aniruddha (58989664400); Bhasharkar, Akash (58989767300); Pathade, Aniket (57218242188)","57202989792; 55808341200; 58989559700; 58989962100; 58989664400; 58989767300; 57218242188","Future prediction for precautionary measures associated with heart-related issues based on IoT prototype","2024","Multimedia Tools and Applications","83","23","","63723","63753","5","10.1007/s11042-024-19135-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190580355&doi=10.1007%2Fs11042-024-19135-6&partnerID=40&md5=8a6dc520bb3e4a64b0b3a00e99c9a66b","Cardiovascular disease (CVD) has become a significant cause of death around the world, with heart-related problems being a major contributor to this trend. It’s crucial to identify the signs and symptoms of potential health problems before they become severe. To address this issue, an IoT-based prototype has been proposed. This prototype utilizes an ML-based prediction model to provide precautionary measures for heart-related issues. It includes an IoT device that gathers real-time data from the user’s body, such as heart rate and ECG. This data is utilized to create an ML-based prediction model for heart-related problems. The model can alert the user of any potential heart-related risks. The proposed prototype is designed to offer a practical solution for the early detection of heart-related issues, therefore achieving a greater accuracy of 98.3% in lowering the death rate from heart disease than current methods. The results demonstrate that the suggested IoT-based prototype is useful for detecting various heart diseases and predicting future mortality rates compared to other existing machine-learning methods. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2024.","","Article","Final","","Scopus","2-s2.0-85190580355"
"Haleem M.S.; Castaldo R.; Pagliara S.M.; Petretta M.; Salvatore M.; Franzese M.; Pecchia L.","Haleem, Muhammad Salman (26666131100); Castaldo, Rossana (56734351100); Pagliara, Silvio Marcello (14523356200); Petretta, Mario (7004360904); Salvatore, Marco (7102652689); Franzese, Monica (57215069298); Pecchia, Leandro (35746897300)","26666131100; 56734351100; 14523356200; 7004360904; 7102652689; 57215069298; 35746897300","Time adaptive ECG driven cardiovascular disease detector","2021","Biomedical Signal Processing and Control","70","","102968","","","63","10.1016/j.bspc.2021.102968","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109962151&doi=10.1016%2Fj.bspc.2021.102968&partnerID=40&md5=877321c3e0112681313d29c1f9feee7d","Electrocardiograms (ECGs) are widely used to detect cardiovascular disease (CVD). Deep learning is a topic of interest in healthcare, in which timely detection of ECG anomalies can play a vital role in patient monitoring. However, automatic detection of CVD via ECGs is a complex problem, where state-of-the-art performance is achieved typically by the rule-based diagnosis models, which are inefficient to deal with large amount of heterogeneous data and requires significant analysis and medical expertise to achieve adequate precision in CVD diagnosis. In this paper, we propose a two-stage multiclass algorithm. The first stage performs ECG segmentation based on Convolutional Bidirectional Long Short-Term Memory neural networks with attention mechanism. A second stage is based on a time adaptive Convolutional Neural networks applied to ECG beats extracted from first stage for several time intervals. ECG beats are converted to 2D images using Short-Time Fourier Transform to automatically discriminate normal ECG from cardiac adverse events such as arrhythmia and congestive heart failure and predict sudden cardiac death. Model accuracy was compared across different time scales. Data used to train and test the models were extracted from MIT/BIH-PhysioNet databases. By using 4 min ECG, we achieved an accuracy of 100% to automatically detect congestive heart failure events, 97.9% for arrhythmia events, and 100% to predict sudden cardiac deaths. This offers unprecedented results by supporting domain-experts work, by computing signal characteristics via an automated complete system for CVD diagnosis. The achieved results showed to be promising compared to state-of-the-art algorithms used for similar purposes. © 2021 Elsevier Ltd","","Article","Final","","Scopus","2-s2.0-85109962151"
"Kallam S.; Chakrabarti P.; Hung B.T.; Siva Shankar S.","Kallam, Suresh (57202871647); Chakrabarti, Prasun (36717325200); Hung, Bui Thanh (58409698900); Siva Shankar, S. (55745026000)","57202871647; 36717325200; 58409698900; 55745026000","Remote Health Monitoring IoT Framework using Machine Learning Prediction and Advanced Artificial Intelligence (AI) Model","2023","International Journal on Recent and Innovation Trends in Computing and Communication","11","5","","42","47","2","10.17762/ijritcc.v11i5.6523","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164600113&doi=10.17762%2Fijritcc.v11i5.6523&partnerID=40&md5=c3d1cbc56d9a38d6a158c5d521bf23f3","Real intervention and treatment standards drew attention to remote health monitoring frameworks. Remote monitoring frameworks for disease detection at an early stage are opposed by most conventional works. Even so, it ran into issues like increased operational complexity, higher resource costs, inaccurate predictions, longer data collection times, and a lower convergence rate. A remote health monitoring framework that uses artificial intelligence (AI) to predict heart disease and diabetes from medical datasets is the goal of this project. Patients' health data is collected via smart devices, and the resulting data is then combined using a variety of nodes, including a detection node, a visualisation node, and a prognostic node. People with long-term illnesses (such as the elderly and disabled) are in such greater demand than ever before that a new approach to healthcare delivery is essential. In the evolved paradigm, conventional physical medical services foundations like clinics, nursing homes, and long haul care offices will be old. Due to recent advancements in modern technology, such as artificial intelligence (AI) and machine learning (ML), the smart healthcare system has become increasingly necessary (ML). This paper will discuss wearable and smartphone technologies, AI for medical diagnostics, and assistive structures, including social robots, that have been created for the surrounding upheld living climate. The review presents programming reconciliation structures that are urgent for consolidating information examination and other man-made consciousness instruments to develop brilliant medical care frameworks (AI). © The Author(s), 2023.","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85164600113"
